Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,league
30/09/2018,Huesca,Girona,1,1,D,13,14,6,4,14,14,5,5,4,2,0,0,LL
30/09/2018,Levante,Alaves,2,1,H,14,14,4,2,22,19,9,4,7,1,0,0,LL
30/09/2018,Villarreal,Valladolid,0,1,A,27,9,7,3,17,12,7,2,3,3,0,0,LL
01/10/2018,Celta,Getafe,1,1,D,8,12,2,4,13,15,3,9,2,2,0,0,LL
05/10/2018,Ath Bilbao,Sociedad,1,3,A,13,6,5,3,15,19,11,0,6,5,0,0,LL
06/10/2018,Alaves,Real Madrid,1,0,H,8,13,4,6,20,10,4,3,1,0,0,0,LL
06/10/2018,Getafe,Levante,0,1,A,15,12,4,3,17,18,10,2,4,5,1,0,LL
06/10/2018,Girona,Eibar,2,3,A,10,12,3,4,9,17,4,9,3,6,0,0,LL
06/10/2018,Leganes,Vallecano,1,0,H,13,6,4,2,12,12,6,4,1,4,0,1,LL
07/10/2018,Ath Madrid,Betis,1,0,H,13,5,5,0,16,10,6,4,5,3,0,0,LL
07/10/2018,Espanol,Villarreal,3,1,H,28,13,12,6,13,8,10,3,3,2,0,0,LL
07/10/2018,Sevilla,Celta,2,1,H,12,13,3,5,14,9,8,8,3,4,0,1,LL
07/10/2018,Valencia,Barcelona,1,1,D,10,10,3,5,11,6,5,2,2,2,0,0,LL
07/10/2018,Valladolid,Huesca,1,0,H,9,11,3,1,9,13,6,2,1,2,0,0,LL
19/10/2018,Celta,Alaves,0,1,A,19,9,9,2,9,12,6,2,2,3,0,0,LL
20/10/2018,Barcelona,Sevilla,4,2,H,23,19,9,7,10,16,5,7,0,1,0,0,LL
20/10/2018,Real Madrid,Levante,1,2,A,34,6,12,2,10,19,15,1,1,2,0,0,LL
20/10/2018,Valencia,Leganes,1,1,D,18,7,4,5,9,13,10,1,1,2,0,0,LL
20/10/2018,Villarreal,Ath Madrid,1,1,D,18,15,6,4,16,9,8,7,3,1,0,0,LL
21/10/2018,Betis,Valladolid,0,1,A,20,6,4,2,7,10,9,6,0,4,0,0,LL
21/10/2018,Eibar,Ath Bilbao,1,1,D,18,6,6,3,7,13,8,2,2,3,0,0,LL
21/10/2018,Huesca,Espanol,0,2,A,10,6,2,2,21,14,6,4,3,3,0,0,LL
21/10/2018,Vallecano,Getafe,1,2,A,10,5,3,2,14,25,6,2,5,5,1,0,LL
22/10/2018,Sociedad,Girona,0,0,D,14,12,8,2,14,15,7,6,3,1,0,0,LL
24/10/2018,Vallecano,Ath Bilbao,1,1,D,11,12,3,4,14,9,5,4,1,1,0,0,LL
26/10/2018,Valladolid,Espanol,1,1,D,15,11,2,4,16,16,5,2,4,2,0,0,LL
27/10/2018,Ath Bilbao,Valencia,0,0,D,13,11,2,3,25,22,5,2,2,5,0,0,LL
27/10/2018,Ath Madrid,Sociedad,2,0,H,14,7,4,0,10,7,10,1,2,1,0,0,LL
27/10/2018,Celta,Eibar,4,0,H,10,17,6,5,9,8,2,8,0,0,0,0,LL
