iter	MAE
397	0.1058921639
398	0.1058877016
399	0.1058788264
400	0.1058725483
401	0.1058390158
402	0.1058259669
403	0.1058176159
404	0.1057883699
405	0.1057803461
406	0.1057617046
407	0.1057445033
408	0.1057313854
409	0.105715507
410	0.1057018853
411	0.1056839687
412	0.1056715091
413	0.1056596829
414	0.1056572486
415	0.1056437671
416	0.1056375847
417	0.1056276968
418	0.1056120065
419	0.10560364
420	0.1055949342
421	0.1055881739
422	0.1055795339
423	0.1055724721
424	0.1055682699
425	0.1055587037
426	0.1055471058
427	0.1055288285
428	0.1055174735
429	0.1055131745
430	0.1055058201
431	0.105500805
432	0.1054898007
433	0.1054752632
434	0.1054629528
435	0.105454125
436	0.1054492527
437	0.1054452258
438	0.1054403027
439	0.1054290965
440	0.1054205992
441	0.1054135743
442	0.1054072545
443	0.1053960515
444	0.1053772487
445	0.1053638733
446	0.105359084
447	0.1053501667
448	0.105344457
449	0.1053323589
450	0.1053223753
451	0.1053150803
452	0.1053054963
453	0.1052911891
454	0.1052693629
455	0.1052432233
456	0.1052326746
457	0.1052104979
458	0.1052024947
459	0.1051830498
460	0.1051680299
461	0.1051588316
462	0.1051537825
463	0.1051462744
464	0.1051324805
465	0.1051274501
466	0.1050987567
467	0.1050796029
468	0.1050736032
469	0.1050524757
470	0.1050459304
471	0.1050376384
472	0.1050302803
473	0.1050221543
474	0.1050100861
475	0.1049932187
476	0.1049858191
477	0.1049729054
478	0.1049620277
479	0.1049408447
480	0.1049371897
481	0.1049217227
482	0.104897575
483	0.1048738409
484	0.1048641164
485	0.1048427566
486	0.1048325271
487	0.1048265817
488	0.1048088669
489	0.1047992512
490	0.1047959209
491	0.1047852172
492	0.1047684699
493	0.1047536291
494	0.1047308184
495	0.1047176935
496	0.1047001137
497	0.1046883753
498	0.1046759278
499	0.1046490898
500	0.1046334852
501	0.1046174137
502	0.1045848499
503	0.1045694435
504	0.1045612244
505	0.1045439073
506	0.1045167629
507	0.1045021628
508	0.1044795331
509	0.1044673953
510	0.1044458518
511	0.1044317701
512	0.1044205582
513	0.1043928826
514	0.1043830129
515	0.1043684194
516	0.1043573702
517	0.1043485985
518	0.1043392995
519	0.1043238959
520	0.1043194443
521	0.1043031698
522	0.1042880797
523	0.104278491
524	0.1042581102
525	0.1042345728
526	0.104220042
527	0.1042057378
528	0.1041961848
529	0.1041849941
530	0.1041702076
531	0.1041540547
532	0.1041210226
533	0.1040964177
534	0.1040840473
535	0.1040652454
536	0.1040362436
537	0.104023442
538	0.1039927666
539	0.10397342
540	0.1039645207
541	0.103955026
542	0.1039473603
543	0.103941155
544	0.1039246389
545	0.1039117495
546	0.1038943244
547	0.1038843139
548	0.1038794322
549	0.1038716522
550	0.1038663473
551	0.1038645519
552	0.1038512948
553	0.1038429872
554	0.1038339221
555	0.1038158654
556	0.10379683
557	0.1037899296
558	0.1037651973
559	0.103754403
560	0.1037453178
561	0.1037362418
562	0.1037179557
563	0.1037054177
564	0.1036878002
565	0.1036845858
566	0.1036646795
567	0.1036611998
568	0.1036368211
569	0.1036163274
570	0.1035989164
571	0.1035657353
572	0.1035595718
573	0.1035428752
574	0.1035334017
575	0.1035206271
576	0.1034974228
577	0.1034806275
578	0.1034724292
579	0.1034649229
580	0.1034361597
581	0.103423464
582	0.1034193931
583	0.1034111174
584	0.1033970174
585	0.1033803058
586	0.1033676278
587	0.1033551942
588	0.1033387069
589	0.1033291383
590	0.1033226071
591	0.1033136653
592	0.103305111
593	0.1032856304
594	0.1032747233
595	0.1032705154
596	0.1032629913
597	0.1032548523
598	0.1032441874
599	0.1032300308
