Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,league
10/11/2024,19:45,Lyon,St Etienne,1,0,H,17,10,7,6,11,13,7,6,3,2,0,0,Ligue1
22/11/2024,18:00,Monaco,Brest,3,2,H,10,12,4,4,7,12,2,8,2,2,0,0,Ligue1
22/11/2024,20:00,Paris SG,Toulouse,3,0,H,17,11,8,2,11,14,7,5,1,2,0,0,Ligue1
23/11/2024,16:00,Lens,Marseille,1,3,A,16,7,7,4,17,9,6,0,3,3,0,0,Ligue1
23/11/2024,18:00,St Etienne,Montpellier,1,0,H,11,11,4,3,19,11,5,11,3,5,0,0,Ligue1
23/11/2024,20:00,Reims,Lyon,1,1,D,14,13,6,7,11,13,4,2,2,0,0,0,Ligue1
24/11/2024,14:00,Lille,Rennes,1,0,H,5,4,2,1,19,16,3,3,3,2,0,0,Ligue1
24/11/2024,16:00,Auxerre,Angers,1,0,H,10,10,6,5,13,7,2,2,4,1,0,0,Ligue1
24/11/2024,16:00,Nantes,Le Havre,0,2,A,18,7,4,5,14,12,9,2,2,1,0,0,Ligue1
24/11/2024,19:45,Nice,Strasbourg,2,1,H,15,10,5,3,16,8,4,7,2,0,0,0,Ligue1
29/11/2024,19:45,Reims,Lens,0,2,A,16,11,3,6,14,12,3,1,1,2,0,0,Ligue1
30/11/2024,16:00,Rennes,St Etienne,5,0,H,18,2,9,0,14,12,6,1,0,1,0,1,Ligue1
30/11/2024,18:00,Brest,Strasbourg,3,1,H,11,12,8,4,15,8,4,3,3,2,0,0,Ligue1
30/11/2024,20:00,Paris SG,Nantes,1,1,D,24,5,10,2,3,6,9,3,0,0,0,0,Ligue1
01/12/2024,14:00,Montpellier,Lille,2,2,D,11,13,5,4,9,21,7,2,4,5,1,1,Ligue1
01/12/2024,16:00,Le Havre,Angers,0,1,A,5,12,1,3,8,10,2,4,2,0,0,0,Ligue1
01/12/2024,16:00,Lyon,Nice,4,1,H,16,16,8,7,11,11,5,4,1,2,0,0,Ligue1
01/12/2024,16:00,Toulouse,Auxerre,2,0,H,12,4,7,0,14,12,6,2,0,0,0,0,Ligue1
01/12/2024,19:45,Marseille,Monaco,2,1,H,9,7,4,4,15,16,5,3,0,1,0,0,Ligue1
06/12/2024,18:00,Lille,Brest,3,1,H,10,7,6,3,13,16,2,1,1,1,0,0,Ligue1
06/12/2024,20:00,Auxerre,Paris SG,0,0,D,6,25,2,11,8,7,3,15,2,1,0,0,Ligue1
07/12/2024,16:00,Monaco,Toulouse,2,0,H,19,6,5,3,15,16,2,3,2,2,0,0,Ligue1
07/12/2024,18:00,Nice,Le Havre,2,1,H,17,12,5,2,10,10,5,8,3,2,0,0,Ligue1
07/12/2024,20:00,Angers,Lyon,0,3,A,10,16,2,10,13,13,2,7,0,2,0,0,Ligue1
08/12/2024,14:00,Lens,Montpellier,2,0,H,18,7,4,4,15,7,6,3,2,3,0,0,Ligue1
08/12/2024,16:00,Nantes,Rennes,1,0,H,14,5,2,3,15,9,5,4,1,1,0,1,Ligue1
08/12/2024,16:00,Strasbourg,Reims,0,0,D,7,11,2,3,13,16,3,2,1,2,0,0,Ligue1
