Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,league
11/08/2023,20:00,Nice,Lille,1,1,D,8,12,3,5,13,9,3,3,3,2,0,0,Ligue1
12/08/2023,16:00,Marseille,Reims,2,1,H,14,11,4,4,7,16,10,10,1,3,0,0,Ligue1
12/08/2023,20:00,Paris SG,Lorient,0,0,D,20,4,4,0,8,6,9,2,0,0,0,0,Ligue1
13/08/2023,12:00,Brest,Lens,3,2,H,15,10,8,2,13,15,6,8,2,3,0,1,Ligue1
13/08/2023,14:00,Clermont,Monaco,2,4,A,15,14,7,8,7,16,6,2,0,4,0,0,Ligue1
13/08/2023,14:00,Montpellier,Le Havre,2,2,D,15,12,5,4,8,12,5,2,1,2,0,0,Ligue1
13/08/2023,14:00,Nantes,Toulouse,1,2,A,9,9,4,5,14,14,7,5,2,2,0,0,Ligue1
13/08/2023,16:05,Rennes,Metz,5,1,H,29,9,14,3,7,10,5,4,0,2,0,0,Ligue1
13/08/2023,19:45,Strasbourg,Lyon,2,1,H,8,23,2,7,8,11,1,6,2,2,0,0,Ligue1
18/08/2023,20:00,Metz,Marseille,2,2,D,10,22,5,5,15,9,4,9,3,2,1,0,Ligue1
19/08/2023,18:00,Lyon,Montpellier,1,4,A,7,14,3,8,20,10,6,2,4,1,1,0,Ligue1
19/08/2023,20:00,Toulouse,Paris SG,1,1,D,8,16,2,3,8,11,5,5,0,3,0,0,Ligue1
20/08/2023,12:00,Lille,Nantes,2,0,H,18,14,8,4,8,15,7,5,0,2,1,0,Ligue1
20/08/2023,14:00,Le Havre,Brest,1,2,A,18,10,7,5,18,15,5,3,0,2,0,0,Ligue1
20/08/2023,14:00,Lorient,Nice,1,1,D,9,21,2,8,8,10,0,9,1,1,0,0,Ligue1
20/08/2023,14:00,Reims,Clermont,2,0,H,8,11,4,4,9,6,3,10,0,0,0,0,Ligue1
20/08/2023,16:05,Monaco,Strasbourg,3,0,H,9,4,4,1,19,16,4,3,2,1,0,0,Ligue1
20/08/2023,19:45,Lens,Rennes,1,1,D,15,10,4,5,15,10,11,0,2,1,0,0,Ligue1
25/08/2023,20:00,Nantes,Monaco,3,3,D,3,27,3,10,8,7,1,10,2,2,0,0,Ligue1
26/08/2023,18:00,Marseille,Brest,2,0,H,15,18,6,7,4,8,3,10,0,1,0,0,Ligue1
26/08/2023,20:00,Paris SG,Lens,3,1,H,17,12,7,4,8,16,5,5,0,5,0,0,Ligue1
27/08/2023,12:00,Rennes,Le Havre,2,2,D,22,7,8,3,5,7,5,2,1,2,0,1,Ligue1
27/08/2023,14:00,Clermont,Metz,0,1,A,16,10,4,5,8,10,10,2,1,1,0,0,Ligue1
27/08/2023,14:00,Montpellier,Reims,1,3,A,19,12,3,6,9,19,5,3,1,1,0,0,Ligue1
