Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,league
19/09/2021,14:00,Clermont,Brest,1,1,D,7,5,4,1,7,19,3,5,1,1,1,0,Ligue1
19/09/2021,14:00,Reims,Lorient,0,0,D,10,6,2,3,12,14,5,6,2,3,0,0,Ligue1
19/09/2021,14:00,Troyes,Montpellier,1,1,D,8,6,3,2,16,11,1,6,4,4,0,1,Ligue1
19/09/2021,16:00,Marseille,Rennes,2,0,H,17,13,6,2,5,17,6,7,0,2,0,0,Ligue1
19/09/2021,19:45,Paris SG,Lyon,2,1,H,14,12,5,5,13,19,10,4,3,1,0,0,Ligue1
22/09/2021,18:00,Lille,Reims,2,1,H,7,11,4,5,16,14,4,4,2,1,0,0,Ligue1
22/09/2021,18:00,Monaco,St Etienne,3,1,H,14,9,6,3,16,13,6,3,1,1,0,1,Ligue1
22/09/2021,18:00,Montpellier,Bordeaux,3,3,D,15,15,6,7,10,8,6,6,0,2,0,0,Ligue1
22/09/2021,18:00,Nantes,Brest,3,1,H,14,10,6,2,8,13,4,4,1,2,0,0,Ligue1
22/09/2021,18:00,Rennes,Clermont,6,0,H,21,4,10,1,14,5,5,7,2,1,0,0,Ligue1
22/09/2021,20:00,Angers,Marseille,0,0,D,9,6,1,1,9,7,4,2,1,3,0,0,Ligue1
22/09/2021,20:00,Lens,Strasbourg,0,1,A,17,6,4,1,14,7,7,3,2,3,1,0,Ligue1
22/09/2021,20:00,Lorient,Nice,1,0,H,8,13,1,1,12,16,6,5,2,4,1,0,Ligue1
22/09/2021,20:00,Lyon,Troyes,3,1,H,15,12,8,7,7,9,7,3,1,3,0,0,Ligue1
22/09/2021,20:00,Metz,Paris SG,1,2,A,6,15,2,5,12,12,3,3,6,2,1,0,Ligue1
25/09/2021,16:00,St Etienne,Nice,0,3,A,11,14,6,9,9,13,2,9,0,2,0,0,Ligue1
25/09/2021,18:00,Strasbourg,Lille,1,2,A,10,16,3,7,16,12,8,8,4,4,1,0,Ligue1
25/09/2021,20:00,Lyon,Lorient,1,1,D,12,12,2,5,9,10,9,3,1,2,1,0,Ligue1
25/09/2021,20:00,Paris SG,Montpellier,2,0,H,16,10,5,4,10,8,8,7,0,1,0,0,Ligue1
26/09/2021,12:00,Bordeaux,Rennes,1,1,D,10,18,3,8,6,20,8,6,1,4,0,0,Ligue1
26/09/2021,14:00,Brest,Metz,1,2,A,11,6,2,4,16,16,4,3,3,2,0,0,Ligue1
26/09/2021,14:00,Reims,Nantes,3,1,H,9,11,5,2,14,10,3,7,1,1,0,0,Ligue1
26/09/2021,14:00,Troyes,Angers,1,1,D,6,17,3,6,9,8,2,9,4,2,1,0,Ligue1
26/09/2021,16:00,Clermont,Monaco,1,3,A,12,6,4,3,9,12,5,1,2,4,0,0,Ligue1
26/09/2021,19:45,Marseille,Lens,2,3,A,14,14,4,5,4,14,5,7,2,1,0,0,Ligue1
01/10/2021,20:00,Lens,Reims,2,0,H,13,3,7,0,13,13,5,3,3,1,0,1,Ligue1
02/10/2021,16:00,Montpellier,Strasbourg,1,1,D,12,6,4,3,12,14,3,4,2,0,0,0,Ligue1
02/10/2021,20:00,Nice,Brest,2,1,H,20,6,9,2,8,12,6,2,1,1,0,0,Ligue1
03/10/2021,12:00,Rennes,Paris SG,2,0,H,12,13,4,0,9,4,4,4,2,3,0,0,Ligue1
03/10/2021,14:00,Angers,Metz,3,2,H,18,2,5,2,16,11,12,2,1,3,0,0,Ligue1
03/10/2021,14:00,Lorient,Clermont,1,1,D,6,8,1,4,19,12,4,4,2,1,0,0,Ligue1
03/10/2021,14:00,Monaco,Bordeaux,3,0,H,12,4,4,1,12,13,10,2,2,1,0,0,Ligue1
03/10/2021,14:00,Nantes,Troyes,2,0,H,8,15,4,4,14,10,3,7,2,2,0,0,Ligue1
03/10/2021,16:00,Lille,Marseille,2,0,H,12,10,5,3,10,13,3,5,2,3,0,1,Ligue1
03/10/2021,19:45,St Etienne,Lyon,1,1,D,18,15,6,5,14,10,6,4,2,3,0,1,Ligue1
15/10/2021,20:00,Paris SG,Angers,2,1,H,13,7,2,2,8,10,6,5,1,2,0,0,Ligue1
16/10/2021,16:00,Clermont,Lille,1,0,H,9,9,3,2,9,8,6,9,1,2,0,0,Ligue1
16/10/2021,20:00,Lyon,Monaco,2,0,H,14,9,8,3,8,10,2,4,1,2,0,0,Ligue1
17/10/2021,12:00,Troyes,Nice,1,0,H,8,11,3,3,10,20,3,3,2,1,0,0,Ligue1
17/10/2021,14:00,Bordeaux,Nantes,1,1,D,8,13,1,7,10,16,2,5,2,3,0,0,Ligue1
17/10/2021,14:00,Brest,Reims,1,1,D,9,13,4,2,18,13,7,7,3,4,0,0,Ligue1
17/10/2021,14:00,Metz,Rennes,0,3,A,9,21,2,8,14,9,4,10,3,1,0,0,Ligue1
17/10/2021,14:00,Strasbourg,St Etienne,5,1,H,12,4,6,2,18,10,7,4,3,2,0,1,Ligue1
17/10/2021,16:00,Montpellier,Lens,1,0,H,15,19,6,5,8,16,3,2,4,4,1,0,Ligue1
17/10/2021,19:45,Marseille,Lorient,4,1,H,16,15,6,7,7,10,6,4,0,1,0,0,Ligue1
22/10/2021,20:00,St Etienne,Angers,2,2,D,17,4,6,2,12,18,6,1,0,3,0,0,Ligue1
23/10/2021,16:00,Nantes,Clermont,2,1,H,8,4,4,1,15,11,1,3,1,0,1,1,Ligue1
