Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
07/10/2023,14:30,Dortmund,Union Berlin,4,2,H,12,12,7,6,7,15,4,6,1,1,0,0
07/10/2023,14:30,RB Leipzig,Bochum,0,0,D,18,9,5,2,10,13,9,1,2,4,0,0
07/10/2023,14:30,Stuttgart,Wolfsburg,3,1,H,13,12,7,5,13,14,5,6,1,3,0,0
07/10/2023,17:30,Werder Bremen,Hoffenheim,2,3,A,13,11,3,4,15,6,4,4,5,4,0,0
08/10/2023,14:30,Leverkusen,FC Koln,3,0,H,21,7,10,3,9,7,11,4,3,0,0,0
08/10/2023,16:30,Bayern Munich,Freiburg,3,0,H,21,2,5,0,7,8,7,1,1,0,0,0
08/10/2023,18:30,Ein Frankfurt,Heidenheim,2,0,H,12,7,6,2,14,10,3,6,2,3,0,0
20/10/2023,19:30,Dortmund,Werder Bremen,1,0,H,22,6,5,1,5,10,10,4,1,5,0,0
21/10/2023,14:30,Darmstadt,RB Leipzig,1,3,A,16,10,3,7,16,12,6,0,6,3,0,0
21/10/2023,14:30,Freiburg,Bochum,2,1,H,15,13,5,5,11,16,5,2,3,4,0,0
21/10/2023,14:30,Hoffenheim,Ein Frankfurt,1,3,A,14,13,5,5,7,7,6,3,3,0,0,0
21/10/2023,14:30,Union Berlin,Stuttgart,0,3,A,10,10,2,5,12,12,4,2,2,1,0,0
21/10/2023,14:30,Wolfsburg,Leverkusen,1,2,A,18,13,7,6,15,14,4,3,3,5,0,0
21/10/2023,17:30,Mainz,Bayern Munich,1,3,A,14,12,3,5,12,10,2,7,3,2,0,0
22/10/2023,14:30,FC Koln,M'gladbach,3,1,H,21,5,8,2,13,10,8,3,0,2,0,1
22/10/2023,16:30,Heidenheim,Augsburg,2,5,A,16,9,5,6,11,11,6,5,3,2,0,0
27/10/2023,19:30,Bochum,Mainz,2,2,D,10,10,4,4,14,21,5,4,3,3,0,0
28/10/2023,14:30,Augsburg,Wolfsburg,3,2,H,9,13,5,6,19,14,5,5,6,4,1,0
28/10/2023,14:30,Bayern Munich,Darmstadt,8,0,H,28,10,16,4,15,13,7,1,1,2,1,2
28/10/2023,14:30,M'gladbach,Heidenheim,2,1,H,11,8,6,3,5,18,6,4,0,3,0,0
28/10/2023,14:30,Stuttgart,Hoffenheim,2,3,A,23,7,10,5,13,11,6,0,2,1,0,0
28/10/2023,14:30,Werder Bremen,Union Berlin,2,0,H,9,7,3,2,12,14,3,3,1,4,0,1
28/10/2023,17:30,RB Leipzig,FC Koln,6,0,H,24,6,13,1,8,13,11,1,2,4,0,1
29/10/2023,14:30,Ein Frankfurt,Dortmund,3,3,D,11,14,7,4,11,10,0,4,3,2,0,0
29/10/2023,16:30,Leverkusen,Freiburg,2,1,H,19,10,4,4,9,10,11,4,0,2,0,0
03/11/2023,19:30,Darmstadt,Bochum,1,2,A,15,9,4,4,7,16,11,2,2,5,1,0
04/11/2023,14:30,FC Koln,Augsburg,1,1,D,28,18,12,3,10,10,10,2,1,4,0,0
