Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,league
25/09/14,Lazio,Udinese,0.0,1.0,A,18.0,5.0,8.0,2.0,18.0,12.0,7.0,3.0,3.0,1.0,0.0,0.0,Serie A
27/09/14,Atalanta,Juventus,0.0,3.0,A,10.0,16.0,1.0,7.0,17.0,15.0,2.0,3.0,2.0,3.0,0.0,0.0,Serie A
27/09/14,Roma,Verona,2.0,0.0,H,23.0,9.0,6.0,3.0,13.0,4.0,10.0,2.0,1.0,1.0,0.0,0.0,Serie A
28/09/14,Cesena,Milan,1.0,1.0,D,10.0,11.0,2.0,4.0,14.0,12.0,4.0,9.0,4.0,2.0,0.0,1.0,Serie A
28/09/14,Chievo,Empoli,1.0,1.0,D,18.0,6.0,5.0,3.0,20.0,14.0,11.0,1.0,3.0,1.0,0.0,0.0,Serie A
28/09/14,Genoa,Sampdoria,0.0,1.0,A,7.0,10.0,4.0,1.0,22.0,23.0,3.0,5.0,3.0,4.0,0.0,0.0,Serie A
28/09/14,Inter,Cagliari,1.0,4.0,A,15.0,16.0,5.0,7.0,23.0,8.0,10.0,3.0,1.0,3.0,1.0,0.0,Serie A
28/09/14,Sassuolo,Napoli,0.0,1.0,A,11.0,11.0,1.0,3.0,19.0,12.0,6.0,6.0,4.0,2.0,0.0,0.0,Serie A
28/09/14,Torino,Fiorentina,1.0,1.0,D,15.0,19.0,3.0,7.0,14.0,15.0,6.0,4.0,3.0,2.0,0.0,0.0,Serie A
29/09/14,Palermo,Lazio,0.0,4.0,A,17.0,15.0,4.0,10.0,12.0,16.0,4.0,1.0,2.0,4.0,0.0,0.0,Serie A
29/09/14,Udinese,Parma,4.0,2.0,H,12.0,18.0,5.0,6.0,8.0,11.0,6.0,4.0,2.0,0.0,0.0,1.0,Serie A
04/10/14,Milan,Chievo,2.0,0.0,H,22.0,10.0,4.0,2.0,10.0,25.0,9.0,2.0,2.0,5.0,0.0,0.0,Serie A
04/10/14,Verona,Cagliari,1.0,0.0,H,13.0,19.0,5.0,7.0,13.0,17.0,5.0,11.0,1.0,3.0,0.0,0.0,Serie A
05/10/14,Empoli,Palermo,3.0,0.0,H,20.0,7.0,11.0,2.0,18.0,25.0,12.0,4.0,0.0,4.0,0.0,0.0,Serie A
05/10/14,Fiorentina,Inter,3.0,0.0,H,15.0,14.0,8.0,4.0,12.0,17.0,2.0,5.0,2.0,3.0,0.0,0.0,Serie A
05/10/14,Juventus,Roma,3.0,2.0,H,20.0,8.0,5.0,2.0,14.0,15.0,5.0,5.0,4.0,3.0,1.0,1.0,Serie A
05/10/14,Lazio,Sassuolo,3.0,2.0,H,13.0,12.0,9.0,6.0,22.0,12.0,4.0,1.0,2.0,1.0,1.0,1.0,Serie A
05/10/14,Napoli,Torino,2.0,1.0,H,24.0,5.0,9.0,2.0,17.0,16.0,9.0,2.0,3.0,3.0,0.0,0.0,Serie A
05/10/14,Parma,Genoa,1.0,2.0,A,12.0,13.0,3.0,5.0,26.0,12.0,6.0,3.0,2.0,2.0,0.0,1.0,Serie A
05/10/14,Sampdoria,Atalanta,1.0,0.0,H,16.0,8.0,3.0,1.0,19.0,14.0,3.0,4.0,3.0,3.0,0.0,0.0,Serie A
05/10/14,Udinese,Cesena,1.0,1.0,D,14.0,7.0,3.0,5.0,10.0,12.0,7.0,1.0,3.0,3.0,0.0,0.0,Serie A
18/10/14,Roma,Chievo,3.0,0.0,H,14.0,11.0,8.0,3.0,12.0,13.0,6.0,2.0,1.0,1.0,0.0,0.0,Serie A
18/10/14,Sassuolo,Juventus,1.0,1.0,D,7.0,19.0,2.0,7.0,14.0,15.0,2.0,6.0,2.0,2.0,0.0,1.0,Serie A
