Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
01/09/2023,19:45,Roma,Milan,1,2,A,13,9,2,4,14,15,3,5,2,4,0,1
02/09/2023,17:30,Bologna,Cagliari,2,1,H,16,7,7,1,9,13,5,2,1,2,0,0
02/09/2023,17:30,Udinese,Frosinone,0,0,D,12,12,6,2,14,9,3,5,2,2,0,0
02/09/2023,19:45,Atalanta,Monza,3,0,H,18,8,8,2,11,9,7,3,0,3,0,0
02/09/2023,19:45,Napoli,Lazio,1,2,A,22,6,4,2,8,9,7,2,1,2,0,0
03/09/2023,17:30,Inter,Fiorentina,4,0,H,21,6,11,2,13,12,1,1,1,1,0,0
03/09/2023,17:30,Torino,Genoa,1,0,H,10,7,3,2,13,7,4,0,2,5,0,0
03/09/2023,19:45,Empoli,Juventus,0,2,A,7,18,0,5,14,13,3,7,3,3,0,0
03/09/2023,19:45,Lecce,Salernitana,2,0,H,20,11,6,4,17,15,6,5,3,3,0,0
16/09/2023,14:00,Juventus,Lazio,3,1,H,17,16,7,5,13,13,7,9,5,1,0,0
16/09/2023,17:00,Inter,Milan,5,1,H,14,9,7,2,16,13,5,0,2,2,0,0
16/09/2023,19:45,Genoa,Napoli,2,2,D,8,12,3,4,14,8,3,1,3,2,0,0
17/09/2023,11:30,Cagliari,Udinese,0,0,D,10,11,1,1,12,11,4,6,2,1,1,0
17/09/2023,14:00,Frosinone,Sassuolo,4,2,H,16,18,6,7,10,9,5,6,4,2,0,0
17/09/2023,14:00,Monza,Lecce,1,1,D,25,4,6,3,17,11,10,1,6,1,1,1
17/09/2023,17:00,Fiorentina,Atalanta,3,2,H,15,11,8,4,8,14,3,4,1,2,0,0
17/09/2023,19:45,Roma,Empoli,7,0,H,14,8,9,2,15,5,2,6,2,2,0,0
18/09/2023,17:30,Salernitana,Torino,0,3,A,14,11,4,3,12,16,1,2,2,2,0,0
18/09/2023,19:45,Verona,Bologna,0,0,D,9,11,1,4,18,10,3,4,4,2,0,0
22/09/2023,17:30,Salernitana,Frosinone,1,1,D,19,9,6,3,12,12,8,6,2,2,0,0
22/09/2023,19:45,Lecce,Genoa,1,0,H,18,8,3,1,12,10,4,3,1,3,0,1
23/09/2023,14:00,Milan,Verona,1,0,H,9,10,4,2,13,9,2,3,4,2,0,0
23/09/2023,17:00,Sassuolo,Juventus,4,2,H,18,15,7,2,13,8,6,3,4,2,0,0
23/09/2023,19:45,Lazio,Monza,1,1,D,8,16,1,4,13,7,1,3,2,2,0,0
24/09/2023,11:30,Empoli,Inter,0,1,A,7,23,1,6,15,11,3,6,2,2,0,0
24/09/2023,14:00,Atalanta,Cagliari,2,0,H,10,11,6,1,6,11,7,7,1,2,0,0
24/09/2023,14:00,Udinese,Fiorentina,0,2,A,20,6,8,2,13,11,10,3,0,1,0,0
24/09/2023,17:00,Bologna,Napoli,0,0,D,5,12,2,4,16,12,5,5,4,5,0,0
24/09/2023,19:45,Torino,Roma,1,1,D,13,11,4,3,4,5,7,1,0,2,0,0
26/09/2023,19:45,Juventus,Lecce,1,0,H,14,2,5,0,14,15,5,1,2,5,0,1
27/09/2023,17:30,Cagliari,Milan,1,3,A,16,17,6,6,13,6,3,5,3,1,0,0
27/09/2023,17:30,Empoli,Salernitana,1,0,H,13,14,6,2,18,13,10,2,2,1,0,0
27/09/2023,17:30,Verona,Atalanta,0,1,A,11,8,2,2,10,25,4,1,2,3,0,0
27/09/2023,19:45,Inter,Sassuolo,1,2,A,13,13,3,6,10,8,8,6,0,1,0,0
27/09/2023,19:45,Lazio,Torino,2,0,H,6,7,3,2,12,13,4,2,1,4,0,0
27/09/2023,19:45,Napoli,Udinese,4,1,H,23,13,10,3,11,10,8,4,1,1,0,0
28/09/2023,17:30,Frosinone,Fiorentina,1,1,D,11,19,3,6,6,11,8,10,3,3,0,0
28/09/2023,17:30,Monza,Bologna,0,0,D,12,7,3,5,9,13,7,5,5,3,0,1
28/09/2023,19:45,Genoa,Roma,4,1,H,8,13,4,3,7,12,1,7,4,3,0,0
30/09/2023,14:00,Lecce,Napoli,0,4,A,9,15,4,6,11,11,3,7,3,2,0,0
30/09/2023,17:00,Milan,Lazio,2,0,H,14,13,7,4,15,5,7,1,3,2,0,0
30/09/2023,19:45,Salernitana,Inter,0,4,A,12,16,3,6,12,10,3,3,2,1,0,0
01/10/2023,11:30,Bologna,Empoli,3,0,H,21,12,9,4,11,16,2,6,2,4,0,0
01/10/2023,14:00,Udinese,Genoa,2,2,D,11,8,2,4,12,12,5,0,2,2,1,0
01/10/2023,17:00,Atalanta,Juventus,0,0,D,15,5,2,3,13,7,5,2,1,2,0,0
01/10/2023,19:45,Roma,Frosinone,2,0,H,11,8,5,0,12,11,7,3,1,2,0,0
02/10/2023,17:30,Sassuolo,Monza,0,1,A,19,13,7,4,8,10,7,4,0,0,0,0
02/10/2023,17:30,Torino,Verona,0,0,D,8,5,2,2,6,11,10,1,1,1,0,0
02/10/2023,19:45,Fiorentina,Cagliari,3,0,H,14,6,2,4,10,10,4,2,1,1,0,0
06/10/2023,17:30,Empoli,Udinese,0,0,D,18,11,3,1,11,15,5,7,1,2,0,0
06/10/2023,19:45,Lecce,Sassuolo,1,1,D,13,14,4,1,9,15,5,3,2,3,0,0
07/10/2023,14:00,Inter,Bologna,2,2,D,14,8,5,3,11,9,7,7,2,3,0,0
07/10/2023,17:00,Juventus,Torino,2,0,H,17,10,6,1,10,8,7,3,1,1,0,0
07/10/2023,19:45,Genoa,Milan,0,1,A,7,12,1,3,10,13,3,2,3,5,1,1
08/10/2023,11:30,Monza,Salernitana,3,0,H,16,8,7,5,8,16,7,7,1,2,0,0
08/10/2023,14:00,Frosinone,Verona,2,1,H,11,16,2,4,9,12,2,4,1,4,0,0
08/10/2023,14:00,Lazio,Atalanta,3,2,H,12,12,4,4,7,10,4,6,1,1,0,0
08/10/2023,17:00,Cagliari,Roma,1,4,A,16,11,2,5,15,13,4,3,2,3,0,0
08/10/2023,19:45,Napoli,Fiorentina,1,3,A,16,12,4,3,4,14,6,4,2,4,0,0
21/10/2023,14:00,Verona,Napoli,1,3,A,15,22,9,10,12,9,5,8,3,2,0,0
21/10/2023,17:00,Torino,Inter,0,3,A,7,14,3,4,13,8,2,4,1,2,0,0
